вес: вес
голос: голос
голосование: голосование
голосовать: голосовать
день: дней
дорвейщик: дорвейщиками
друг: друзьями
изменить: изменили
иметь: имеет
карма: карме
катаклизм: катаклизм
кроме: кроме
момент: момента
мочь: могут
новичок: новички
первый: первой
ранний: раньше
регистрация: регистрации
рейтинг: рейтингом
скучать: скучающими
спустя: спустя
человек: людей
